Tau_CM,Tau_DH
0.4861319959163666,5.0
0.4861319959163666,5.0
0.4761156141757965,0.4256769120693207
0.4560847878456116,0.41105151176452637
0.4560847878456116,0.38187411427497864
0.4460703432559967,0.3820851445198059
0.4360564947128296,0.3891313374042511
0.4260432720184326,0.37337955832481384
0.4160305857658386,0.3692479431629181
0.4060184955596924,0.3607199788093567
0.39600691199302673,0.3344196379184723
0.38599592447280884,0.32853981852531433
0.37598541378974915,0.3129127323627472
0.36597543954849243,0.32127293944358826
0.3559659421443939,0.292224258184433
0.3459569215774536,0.3148469626903534
0.3359484076499939,0.2907516658306122
0.32594025135040283,0.2861804962158203
0.31593260169029236,0.2832028567790985
0.3059253394603729,0.2708500027656555
0.2959185242652893,0.2728973627090454
0.28591203689575195,0.26507893204689026
0.2759059965610504,0.27338936924934387
0.26590028405189514,0.25516563653945923
0.2558949291706085,0.2520325183868408
0.24588990211486816,0.25316572189331055
0.23588521778583527,0.24302922189235687
0.22588081657886505,0.2465231567621231
0.2158767431974411,0.23790034651756287
0.20587296783924103,0.23644430935382843
0.19586947560310364,0.22559456527233124
